"","level","Overall"
"n","","218119342.84"
"RIDAGEYR (mean (SD))","","       48.22 (17.12)"
"female (%)","0"," 105430900.8 (48.3) "
"","1"," 112688442.1 (51.7) "
"race3 (%)","Black","  23486849.1 (10.8) "
"","Other","  56901072.1 (26.1) "
"","White"," 137731421.7 (63.1) "
"INDFMPIR (mean (SD))","","        3.00 (1.58)"
"BMXBMI (mean (SD))","","       29.77 (7.14)"
"smoker (%)","current","  50990601.8 (23.4) "
"","non_current"," 167128741.0 (76.6) "
"BMXWAIST (mean (SD))","","      100.99 (17.32)"
